,年份,莫兰指数,p值
0,2000,0.0557,0.062
1,2001,0.0274,0.118
2,2002,0.0204,0.141
3,2003,0.0157,0.16
4,2004,0.0161,0.154
5,2005,0.0186,0.157
6,2006,0.0345,0.104
7,2007,0.0388,0.102
8,2008,0.0288,0.099
9,2009,0.0113,0.162
10,2010,0.0037,0.206
11,2011,0.0079,0.195
12,2012,-0.004,0.208
13,2013,-0.0029,0.218
14,2014,-0.0042,0.251
15,2015,-0.007,0.259
16,2016,-0.0135,0.282
17,2017,-0.0153,0.31
18,2018,-0.0088,0.259
19,2019,0.0485,0.064
20,2020,0.045,0.074
21,2021,0.0487,0.067
22,2022,0.0505,0.058
23,2023,0.0551,0.059
24,2024,0.0514,0.069
