年份,省份,绿色金融综合指数,绿色信贷,绿色投资,绿色保险,绿色债券,绿色支持,绿色基金,绿色权益,x_绿色信贷,x_绿色投资,x_绿色保险,x_绿色债券,x_绿色支持,x_绿色基金,x_绿色权益,绿色信贷_sum,y_绿色信贷,绿色投资_sum,y_绿色投资,绿色保险_sum,y_绿色保险,绿色债券_sum,y_绿色债券,绿色支持_sum,y_绿色支持,绿色基金_sum,y_绿色基金,绿色权益_sum,y_绿色权益,n,y_lny_绿色信贷,y_lny_绿色投资,y_lny_绿色保险,y_lny_绿色债券,y_lny_绿色支持,y_lny_绿色基金,y_lny_绿色权益,y_lny_绿色信贷_sum,y_lny_绿色投资_sum,y_lny_绿色保险_sum,y_lny_绿色债券_sum,y_lny_绿色支持_sum,y_lny_绿色基金_sum,y_lny_绿色权益_sum,E_绿色信贷,E_绿色投资,E_绿色保险,E_绿色债券,E_绿色支持,E_绿色基金,E_绿色权益,d_绿色信贷,d_绿色投资,d_绿色保险,d_绿色债券,d_绿色支持,d_绿色基金,d_绿色权益,d_sum,W_绿色信贷,W_绿色投资,W_绿色保险,W_绿色债券,W_绿色支持,W_绿色基金,W_绿色权益,Score_绿色信贷,Score_绿色投资,Score_绿色保险,Score_绿色债券,Score_绿色支持,Score_绿色基金,Score_绿色权益,能源消费总量,年末常住人口,地区生产总值,人均能源消耗,能源强度,CO2排放量,碳排放强度,第一产业增加值,第二产业增加值,第三产业增加值,人均地区生产总值,Post,Treat,DID,全国均值,减排效率,能源消费总量.1,煤炭消费量,焦炭消费量,原油消费量,汽油消费量,煤油消费量,柴油消费量,燃料油消费量,天然气消费量,电力消费量,rel_year,产业结构高级化,能源利用效率,绿色信贷规模,carbon_trading,environmental_tax,gfi_std,ln_GDP,ln_pop
2000,上海市,0.25015693,0.044683,0.0109,0.020242,0.007058,0.006483,0.040404,0.021092,0.29892779,0.21721493,0.26819589,0.1801405,0.16296192,0.36024211,0.30733667,217.69486,0.00137315,169.97573,0.00127792,197.11803,0.00136059,134.47093,0.00133962,134.86767,0.00120831,294.9318,0.00122144,243.86163,0.00126029,775,-0.00904995,-0.00851415,-0.00897965,-0.0088621,-0.00811807,-0.0081931,-0.00841422,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.03696653,0.0306119,0.03358487,0.02869029,0.02861881,0.04817464,0.04350989,5499.0,1608.63,4551.15,3.41843680647507,1.20826604264856,71238765.23,1.56529152477945,271.0,391.2,367.7,2759,0,0,0,4.53658228674969,-0.654962386695529,5499.48,4496.08,719.99,1309.7,133.25,55.71,176.44,494.2,2.54,559.45,-17,0.9399284253578732,0.8276322967812328,9.817958098502578e-06,0,0,-0.049411011838123874,8.423135227262538,7.383138164053618
2001,上海市,0.26246803,0.046675,0.011835,0.021441,0.00722,0.006179,0.045147,0.020595,0.31455501,0.23932206,0.28662546,0.18492009,0.15376136,0.41307438,0.29846875,217.69486,0.00144494,169.97573,0.00140798,197.11803,0.00145408,134.47093,0.00137517,134.86767,0.00114009,294.9318,0.00140058,243.86163,0.00122393,775,-0.00944943,-0.00924422,-0.00950006,-0.00906123,-0.00772599,-0.009203,-0.00820727,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.03889905,0.03372744,0.03589272,0.02945152,0.02700304,0.05523982,0.04225445,5818.0,1668.33,5210.12,3.48731965498433,1.11667293651586,69336069.87,1.3307960252355,274.2,433.5,425.6,3000,0,0,0,4.16809156222866,-0.680718140336647,5818.0,4610.0,709.82,1355.03,137.33,59.57,231.8,492.61,3.3,592.99,-16,0.9817762399077279,0.8955173599174974,8.958526866943565e-06,0,0,0.03260005519962521,8.558358167111724,7.4195784050772176
2002,上海市,0.29612249,0.050214,0.012715,0.022137,0.007243,0.00812,0.05069,0.023468,0.34231723,0.2601243,0.29731572,0.18561701,0.21256099,0.47480847,0.34973754,217.69486,0.00157246,169.97573,0.00153036,197.11803,0.00150831,134.47093,0.00138035,134.86767,0.00157607,294.9318,0.00160989,243.86163,0.00143416,775,-0.01015043,-0.00992019,-0.00979915,-0.00909018,-0.0101701,-0.01035416,-0.00938972,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.04233223,0.03665908,0.03723141,0.02956252,0.03732923,0.06349542,0.04951261,6249.0,1712.97,5741.03,3.64804987828158,1.0884806384917,80592789.52,1.40380366449923,280.8,482.0,480.7,3257,0,0,0,4.06804884448575,-0.654919663415033,6249.0,4737.0,681.24,1424.91,191.73,103.62,262.33,519.71,4.33,645.71,-15,0.9973029045643154,0.9187117938870218,8.74651412725591e-06,0,0,0.2567910840418278,8.655393915724442,7.445983985035912
2003,上海市,0.31428316,0.054759,0.013547,0.025082,0.008282,0.007849,0.049052,0.025172,0.37796548,0.2797944,0.34257889,0.2163189,0.20434879,0.45656461,0.38014104,217.69486,0.00173622,169.97573,0.00164608,197.11803,0.00173794,134.47093,0.00160867,134.86767,0.00151518,294.9318,0.00154803,243.86163,0.00155884,775,-0.01103548,-0.01055034,-0.01104469,-0.01034751,-0.00983688,-0.01001697,-0.01007605,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.04674062,0.03943117,0.0428995,0.03445229,0.03588703,0.0610557,0.05381686,6796.0,1765.84,6694.23,3.84859330403661,1.01520264466563,92042758.47,1.37495661890912,290.9,570.7,567.4,3708,0,0,0,4.08414499624993,-0.663342848950856,6796.34,5017.5,627.81,1737.52,202.24,103.44,288.32,616.07,4.97,745.97,-14,0.9942176274750305,0.9850250147145378,8.180029667340382e-06,0,0,0.3777693820672224,8.809001240308588,7.476381776832956
2004,上海市,0.33779185,0.058916,0.014604,0.026929,0.009461,0.007922,0.054268,0.024652,0.41057404,0.30478467,0.37097303,0.25116636,0.20658487,0.51466421,0.37086216,217.69486,0.00188601,169.97573,0.00179311,197.11803,0.00188198,134.47093,0.00186781,134.86767,0.00153176,294.9318,0.00174503,243.86163,0.00152079,775,-0.01183148,-0.01133926,-0.01181026,-0.01173544,-0.00992785,-0.01108265,-0.00986768,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.05077312,0.04295303,0.04645516,0.04000231,0.03627972,0.06882527,0.05250324,7406.0,1834.98,8072.83,4.0360112916762,0.917398235810738,107873304.4,1.33625140626026,335.1,667.0,647.3,4244,0,0,0,3.89549779892895,-0.656975443131387,7405.64,5144.32,590.65,1842.29,221.02,168.15,346.56,657.95,10.69,821.44,-13,0.9704647676161918,1.0900391574399135,7.2980602836923364e-06,0,0,0.5343738082809367,8.996259381326151,7.514788861246712
2005,上海市,0.3383083,0.057074,0.013682,0.025452,0.008291,0.009649,0.05275,0.027343,0.396121,0.28297794,0.34826608,0.21658242,0.25892632,0.49775874,0.4188751,217.69486,0.00181962,169.97573,0.00166481,197.11803,0.00176679,134.47093,0.00161063,134.86767,0.00191985,294.9318,0.00168771,243.86163,0.00171768,775,-0.01148019,-0.01065155,-0.01119896,-0.01035815,-0.01200966,-0.01077498,-0.01093607,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.0489858,0.03987983,0.04361168,0.03449426,0.04547175,0.06656453,0.05930047,8225.0,1890.26,9247.66,4.35125326674637,0.889414186940264,114917647.3,1.24266730502635,362.5,797.9,779.6,5218,0,0,0,3.71995059106252,-0.665945212279981,8312.09,5324.52,630.51,1967.0,242.34,223.32,329.6,765.95,18.72,921.97,-12,0.9770647950871038,1.1243355623100304,6.1717234413894974e-06,0,0,0.5378141682464674,9.132125825530437,7.544469664729901
2006,上海市,0.36450067,0.05899,0.014085,0.025706,0.008169,0.011031,0.058324,0.030281,0.41115612,0.29250378,0.35217873,0.21298227,0.30077902,0.55984301,0.47129805,217.69486,0.00188868,169.97573,0.00172086,197.11803,0.00178664,134.47093,0.00158385,134.86767,0.00223018,294.9318,0.00189821,243.86163,0.00193265,775,-0.01184557,-0.01095313,-0.01130481,-0.01021252,-0.01361674,-0.0118958,-0.01207684,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.0508451,0.04122229,0.04410164,0.03392088,0.05282177,0.07486696,0.06672203,8876.0,1964.11,10572.24,4.51909516269455,0.839557179935378,124174851.6,1.17453682095753,367.2,953.0,944.0,6103,0,0,0,3.57740717995078,-0.671679302389702,8967.32,5143.09,655.46,1832.84,268.73,261.97,370.98,805.79,25.25,990.15,-11,0.9905561385099685,1.1911041009463723,5.579706854933297e-06,0,0,0.7122960757890531,9.2659869769421,7.582794495492653
2007,上海市,0.36513883,0.059619,0.015202,0.026577,0.008909,0.008931,0.061126,0.029547,0.41608705,0.31891869,0.3655666,0.23485917,0.23714542,0.59104788,0.45821016,217.69486,0.00191133,169.97573,0.00187626,197.11803,0.00185456,134.47093,0.00174654,134.86767,0.00175836,294.9318,0.00200402,243.86163,0.00187898,775,-0.01196485,-0.01178005,-0.01166537,-0.01109075,-0.01115392,-0.01245015,-0.01179439,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.05145488,0.04494492,0.04577814,0.03740513,0.04164666,0.07903994,0.06486916,9670.0,2063.59,12494.01,4.68600836406457,0.773970886848978,126685297.2,1.01396827119556,430.6,1187.2,1229.7,7778,0,0,0,3.23986794305777,-0.687034073913956,9767.75,5259.53,729.7,1719.57,299.66,295.45,417.17,848.61,27.78,1072.38,-10,1.0357985175202156,1.2920382626680456,4.771806649746558e-06,0,0,0.7165472135867161,9.433004608437379,7.632202463458385
2008,上海市,0.39763687,0.06436,0.016129,0.028793,0.010262,0.009176,0.063692,0.033128,0.45327881,0.34084603,0.39961336,0.27485639,0.24458914,0.6196354,0.52209794,217.69486,0.00208218,169.97573,0.00200526,197.11803,0.00202728,134.47093,0.00204398,134.86767,0.00181355,294.9318,0.00210094,243.86163,0.00214096,775,-0.01285606,-0.01245665,-0.01257128,-0.01265809,-0.01144797,-0.0129531,-0.01315941,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.05605415,0.04803512,0.05004165,0.04377533,0.0429539,0.08286291,0.0739138,10207.0,2140.64,14069.87,4.7682001644368,0.725450910349563,132790694.8,0.943794752901057,522.6,1437.7,1544.2,9697,0,0,0,2.71728515287532,-0.652669962921494,10207.0,5464.0,714.44,1951.55,340.5,321.47,427.05,788.73,30.0,1138.22,-9,1.0740766502051888,1.3784530224355835,4.574313764093058e-06,0,0,0.933034687251575,9.551790910549048,7.668860128725309
2009,上海市,0.42163331,0.069346,0.017437,0.031176,0.010273,0.010459,0.064827,0.033779,0.4923831,0.37176828,0.43624081,0.27518808,0.28346945,0.63227902,0.53371382,217.69486,0.0022618,169.97573,0.00218718,197.11803,0.00221309,134.47093,0.00204645,134.86767,0.00210183,294.9318,0.00214381,243.86163,0.00218859,775,-0.01377799,-0.01339681,-0.01352945,-0.0126709,-0.01295769,-0.0131741,-0.01340403,-6.4762184,-6.4515561,-6.4739881,-6.4253629,-6.4020076,-6.4618417,-6.4506396,0.97344833,0.96974131,0.97311308,0.96580418,0.96229362,0.97128734,0.96960354,0.02655167,0.03025869,0.02688692,0.03419582,0.03770638,0.02871266,0.03039646,0.21470859,0.12366373,0.1409291,0.12522516,0.1592662,0.17561655,0.1337285,0.14157076,0.06088993,0.05239297,0.05462832,0.04382816,0.04978193,0.08455372,0.07555827,10367.0,2210.28,15046.45,4.6903559729989,0.688999730833519,149143881.2,0.991223053942957,531.2,1574.9,1750.6,10814,0,0,0,2.66960201713366,-0.628700065559873,10367.0,5305.0,677.68,1937.18,388.52,353.11,483.19,742.79,33.52,1153.38,-8,1.1115626388977076,1.451379376868911,4.608794765542703e-06,0,0,1.0928882868086673,9.618897361954193,7.700874483319012
