年份,省份,城市代码,地级市,人均地区生产总值,CO2排放量,碳排放强度,绿色金融综合指数,绿色信贷,绿色投资,绿色保险,绿色债券,绿色支持,绿色基金,绿色权益,GDP,GDP增速,人均GDP,第一产业增加值,第二产业增加值,第三产业增加值,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,年末常住人口数,能源消费总量,人均能源消耗,减排效率,地区生产总值,能源消费强度,长江经济带,最早试点年份,Post_carbon,Treat_carbon,碳排放交易DID,经度,纬度,长江经济带.1,年份.1,Post_green,Treat_green,绿色金融试点DID,产业结构高级化,能源利用效率,绿色信贷规模,indus_2,gfi_std
2000,黑龙江省,230900,七台河市,562078,1795448.8,-3.19430541668594,0.12795454,0.037169,0.00749,0.016491,0.006625,0.006563,0.042725,0.019383,562100.0,5.1,1285.5086101657,69900.0,273400.0,218700.0,12.4,48.6,38.9,437.258837128713,179.2130132,0.409855668959862,3.1942,562078,3.18840113293884,0,0,0,0,0,131.003138,45.771726,0,2000,0,0,0,0.7999268471104609,3136.3682244030256,5.292807910049114e-08,0.4864093595550795,-0.3150477954309163
2001,黑龙江省,230900,七台河市,614451,4157958.36,-6.76694864195843,0.10906926,0.03831,0.009842,0.016143,0.007444,0.004882,0.022019,0.007933,614500.0,8.4,1392.26793602165,74400.0,291900.0,248200.0,12.1,47.51,40.39,441.366194035832,163.24526302,0.369863540130459,6.7664,614451,2.65676617045135,0,0,0,0,0,131.003138,45.771726,0,2001,0,0,0,0.8502911956149366,3763.9744555694733,5.292807910049114e-08,0.475058222706123,-0.5559094477721543
2002,黑龙江省,230900,七台河市,696552,6864443.64,-9.85489043172656,0.12543036,0.041523,0.008482,0.019474,0.00534,0.008227,0.02801,0.015127,696600.0,11.5,1578.99823626327,79000.0,340000.0,277000.0,11.36,48.85,39.79,441.165787270616,213.0454253,0.482914658042863,9.8542,696552,3.05857172615971,0,0,0,0,0,131.003138,45.771726,0,2002,0,0,0,0.8147058823529412,3269.4999154248444,5.292807910049114e-08,0.4881186185668837,-0.3472410255872449
2003,黑龙江省,230900,七台河市,796885,7246488.17,-9.09351809859641,0.1340641,0.041257,0.010606,0.019836,0.004473,0.006343,0.039345,0.020382,796900.0,12.0,1825.55642550556,95000.0,400000.0,302000.0,11.9,50.23,37.93,436.524442009132,217.52368124,0.49830813651312,9.0933,796885,2.72967468630982,0,0,0,0,0,131.003138,45.771726,0,2003,0,0,0,0.755,3663.440207784891,5.177284049768787e-08,0.5019544852770476,-0.23712685824184998
2004,黑龙江省,230900,七台河市,965164,7426263.89,-7.69430261592848,0.14316807,0.044981,0.01328,0.020837,0.004899,0.005965,0.037823,0.021133,967000.0,13.0,2205.41054947786,118000.0,514000.0,336000.0,12.23,53.23,34.7,438.467114537445,283.78510308,0.647220951517368,7.6797,965164,2.94027857524732,0,0,0,0,0,131.003138,45.771726,0,2004,0,0,0,0.6536964980544747,3401.0382839860235,4.6604514880372664e-08,0.5325519808032625,-0.12101540757418372
2005,黑龙江省,230900,七台河市,1002149,7479084.89,-7.4630468024216,0.10905086,0.033019,0.007039,0.015396,0.003867,0.006717,0.035017,0.015946,1002100.0,13.18,2288.77876505071,131000.0,492300.0,378800.0,13.07,49.13,37.8,437.831744728634,367.226496,0.838738854414508,7.4634,1002149,3.66439018549138,0,0,0,0,0,131.003138,45.771726,0,2005,0,0,0,0.7694495226487914,2728.967029655725,3.2948194330384004e-08,0.49124431596499124,-0.5561441201944366
2006,黑龙江省,230900,七台河市,1142269,7260041.03,-6.35580675830299,0.14374601,0.044054,0.011514,0.020677,0.007512,0.004352,0.039154,0.023433,1142300.0,12.5,2602.54459066277,139000.0,571000.0,432000.0,12.17,49.97,37.83,438.916591130952,346.09344822,0.788517579907892,6.3556,1142269,3.02987692233616,0,0,0,0,0,131.003138,45.771726,0,2006,0,0,0,0.7565674255691769,3300.464096835193,3.8567097592598595e-08,0.499882251903886,-0.11364439780604182
2007,黑龙江省,230900,七台河市,1351595,6909942.43,-5.11243562605662,0.15349695,0.044465,0.008933,0.018911,0.008057,0.008564,0.050384,0.021228,1351600.0,14.9,3054.50032775256,138400.0,699900.0,513200.0,10.24,51.78,37.97,442.4946325,422.91153528,0.955743876237866,5.1124,1351595,3.1289812057606,0,0,0,0,0,131.003138,45.771726,0,2007,0,0,0,0.7332476068009716,3195.9284324206005,3.289816846022662e-08,0.5178326347759499,0.010718466831404237
2008,黑龙江省,230900,七台河市,1871613,12580227.15,-6.72159637168581,0.16227236,0.051027,0.013892,0.022677,0.005929,0.00853,0.045924,0.018469,1871600.0,25.6,4187.69138572013,173600.0,1100100.0,598000.0,9.29,58.76,31.94,446.928827272727,419.78631608,0.939268828644692,6.7216,1871613,2.24291194857056,0,0,0,0,0,131.003138,45.771726,0,2008,0,0,0,0.5435869466412144,4458.489779936802,2.7263649055654137e-08,0.587781768987499,0.12263948428901279
2009,黑龙江省,230900,七台河市,2336262,12453704.6,-5.33061129274028,0.14884382,0.047063,0.013977,0.019592,0.006445,0.007049,0.037456,0.018569,2336300.0,26.0,5185.88663788724,197800.0,1479700.0,658800.0,8.47,63.33,28.2,450.511197628458,556.33442788,1.23489589339534,5.3305,2336262,2.38130153159192,0,0,0,0,0,131.003138,45.771726,0,2009,0,0,0,0.44522538352368723,4199.384188576455,2.0144572826164188e-08,0.6333621828373701,-0.04862725535850165
2010,黑龙江省,230900,七台河市,3052237,12563121.87,-4.11603747349895,0.13028752,0.042295,0.009188,0.018985,0.007258,0.006864,0.036264,0.012207,3052200.0,25.11,6771.72026200575,224100.0,2019800.0,808300.0,7.34,66.17,26.48,450.727419607843,510.5707515,1.13277055996332,4.1161,3052237,1.67277557902614,0,0,0,0,0,131.003138,45.771726,0,2010,0,0,0,0.40018813743935044,5978.088229756342,1.3857049763828956e-08,0.661744156826616,-0.28529311783656464
2011,黑龙江省,230900,七台河市,3080590,13039195.8,-4.2326943215423,0.22858817,0.069159,0.015292,0.031592,0.009742,0.012532,0.06754,0.028185,3080600.0,5.31,6781.31053209032,265600.0,1950600.0,864300.0,8.62,63.32,28.06,454.277972586873,486.0460269,1.06993087103085,4.2327,3080590,1.57776928088451,0,0,0,0,0,131.003138,45.771726,0,2011,0,0,0,0.4430944324823131,6338.062301728898,2.244992030747357e-08,0.633190395346346,0.968427080392835
2012,黑龙江省,230900,七台河市,2989081,12820517.88,-4.28911691586812,0.18542293,0.04983,0.013761,0.021901,0.006934,0.007234,0.059328,0.03959,2989100.0,8.34,6569.95232596315,305700.0,1740300.0,943100.0,10.23,58.22,31.55,454.96524962406,538.60556848,1.18383891720313,4.2891,2989081,1.80191024759784,0,0,0,0,0,131.003138,45.771726,0,2012,0,0,0,0.5419180601045797,5549.665979940557,1.6670675702665803e-08,0.5822190833905136,0.41790037228439836
2013,黑龙江省,230900,七台河市,2409883,12622078.73,-5.23763134143857,0.17427567,0.055819,0.014012,0.026879,0.007282,0.007646,0.045482,0.021726,2286100.0,-19.38,4988.35757102285,317000.0,1115500.0,977400.0,13.16,46.29,40.56,458.287115037594,551.39721894,1.20316980523174,5.5212,2409883,2.28806634571056,0,0,0,0,0,131.003138,45.771726,0,2013,0,0,0,0.8761990138951143,4370.50263806686,2.3162535276608864e-08,0.46288554257613335,0.27572893174036656
2014,黑龙江省,230900,七台河市,2142590,11921953.0,-5.56427174587765,0.21418619,0.073406,0.0175,0.033401,0.012112,0.010393,0.040986,0.017729,2142600.0,2.39,4650.25083516126,312300.0,871800.0,958500.0,14.58,40.69,44.73,460.749339325843,300.84267341,0.65294216992299,5.5642,2142590,1.40410752131766,0,0,0,0,0,131.003138,45.771726,0,2014,0,0,0,1.099449415003441,7121.96170747358,3.426040446375648e-08,0.4068907257104719,0.7847451492917095
2015,黑龙江省,230900,七台河市,2126515,11085832.85,-5.21314585131071,0.21727726,0.073108,0.01932,0.034775,0.011773,0.00724,0.044863,0.023226,1900900.0,4.06,4076.69440290887,342000.0,782000.0,1002000.0,16.09,36.78,47.13,466.284644402985,361.04122362,0.774293616471683,5.8319,2126515,1.69780708633609,0,0,0,0,0,131.003138,45.771726,0,2015,0,0,0,1.2813299232736572,5889.95067842497,3.4379254319861374e-08,0.3677378245627235,0.8241684582234505
2016,黑龙江省,230900,七台河市,2166414,10863930.5,-5.01470656116513,0.18729498,0.053817,0.014722,0.023458,0.007108,0.008529,0.07158,0.021747,1935400.0,0.6,4114.98924749862,318200.0,791200.0,1056900.0,14.68,36.52,48.79,470.329297014925,249.34702056,0.530154132737531,5.6133,2166414,1.15096662300004,0,0,0,0,0,131.003138,45.771726,0,2016,0,0,0,1.3358190091001012,8688.349253720877,2.4841512287125175e-08,0.3652118200860962,0.44177637816121945
2017,黑龙江省,230900,七台河市,2288400,11093964.29,-4.84791307900717,0.21363993,0.058689,0.016043,0.023756,0.009661,0.009229,0.069327,0.036782,2044200.0,5.9,4316.5579487163,298800.0,854900.0,1134700.0,13.0,37.4,49.6,473.571772761194,304.93027756,0.643894537425831,5.427,2288400,1.33250427180563,0,0,0,0,0,131.003138,45.771726,0,2017,0,0,0,1.3272897414902327,7504.666372625854,2.5646303093864708e-08,0.37357979374235273,0.777778184215845
