年份,省份,绿色金融综合指数,绿色信贷,绿色投资,绿色保险,绿色债券,绿色支持,绿色基金,绿色权益,能源消费总量,年末常住人口,地区生产总值,人均能源消耗,能源强度,CO2排放量,碳排放强度,第一产业增加值,第二产业增加值,第三产业增加值,人均地区生产总值,Post_green,Treat_green,绿色金融试点DID,全国均值,减排效率,能源消费总量.1,煤炭消费量,焦炭消费量,原油消费量,汽油消费量,煤油消费量,柴油消费量,燃料油消费量,天然气消费量,电力消费量,Post_carbon,Treat_carbon,碳排放交易DID,产业结构高级化,能源利用效率,绿色信贷规模,indus_2,carbon_trading,environmental_tax,gfi_std,ln_pop
2000,上海市,0.25015693,0.044683,0.0109,0.020242,0.007058,0.006483,0.040404,0.021092,5499.0,1608.63,4551.15,3.41843680647507,1.20826604264856,71238765.23,-1.56529152477945,271.0,391.2,367.7,2759,0,1,0,4.53658228674969,0.654962386695529,5499.48,4496.08,719.99,1309.7,133.25,55.71,176.44,494.2,2.54,559.45,0,1,0,0.9399284253578732,0.8276322967812328,9.817958098502578e-06,0.08595629676015952,0,0,-0.049411011838123874,7.383138164053618
2001,上海市,0.26246803,0.046675,0.011835,0.021441,0.00722,0.006179,0.045147,0.020595,5818.0,1668.33,5210.12,3.48731965498433,1.11667293651586,69336069.87,-1.3307960252355,274.2,433.5,425.6,3000,0,1,0,4.16809156222866,0.680718140336647,5818.0,4610.0,709.82,1355.03,137.33,59.57,231.8,492.61,3.3,592.99,0,1,0,0.9817762399077279,0.8955173599174974,8.958526866943565e-06,0.08320345788580685,0,0,0.03260005519962521,7.4195784050772176
2002,上海市,0.29612249,0.050214,0.012715,0.022137,0.007243,0.00812,0.05069,0.023468,6249.0,1712.97,5741.03,3.64804987828158,1.0884806384917,80592789.52,-1.40380366449923,280.8,482.0,480.7,3257,0,1,0,4.06804884448575,0.654919663415033,6249.0,4737.0,681.24,1424.91,191.73,103.62,262.33,519.71,4.33,645.71,0,1,0,0.9973029045643154,0.9187117938870218,8.74651412725591e-06,0.08395705997007506,0,0,0.2567910840418278,7.445983985035912
2003,上海市,0.31428316,0.054759,0.013547,0.025082,0.008282,0.007849,0.049052,0.025172,6796.0,1765.84,6694.23,3.84859330403661,1.01520264466563,92042758.47,-1.37495661890912,290.9,570.7,567.4,3708,0,1,0,4.08414499624993,0.663342848950856,6796.34,5017.5,627.81,1737.52,202.24,103.44,288.32,616.07,4.97,745.97,0,1,0,0.9942176274750305,0.9850250147145378,8.180029667340382e-06,0.08525252344182976,0,0,0.3777693820672224,7.476381776832956
2004,上海市,0.33779185,0.058916,0.014604,0.026929,0.009461,0.007922,0.054268,0.024652,7406.0,1834.98,8072.83,4.0360112916762,0.917398235810738,107873304.4,-1.33625140626026,335.1,667.0,647.3,4244,0,1,0,3.89549779892895,0.656975443131387,7405.64,5144.32,590.65,1842.29,221.02,168.15,346.56,657.95,10.69,821.44,0,1,0,0.9704647676161918,1.0900391574399135,7.2980602836923364e-06,0.08262282247984908,0,0,0.5343738082809367,7.514788861246712
2005,上海市,0.3383083,0.057074,0.013682,0.025452,0.008291,0.009649,0.05275,0.027343,8225.0,1890.26,9247.66,4.35125326674637,0.889414186940264,114917647.3,-1.24266730502635,362.5,797.9,779.6,5218,0,1,0,3.71995059106252,0.665945212279981,8312.09,5324.52,630.51,1967.0,242.34,223.32,329.6,765.95,18.72,921.97,0,1,0,0.9770647950871038,1.1243355623100304,6.1717234413894974e-06,0.08628128629296493,0,0,0.5378141682464674,7.544469664729901
2006,上海市,0.36450067,0.05899,0.014085,0.025706,0.008169,0.011031,0.058324,0.030281,8876.0,1964.11,10572.24,4.51909516269455,0.839557179935378,124174851.6,-1.17453682095753,367.2,953.0,944.0,6103,0,1,0,3.57740717995078,0.671679302389702,8967.32,5143.09,655.46,1832.84,268.73,261.97,370.98,805.79,25.25,990.15,0,1,0,0.9905561385099685,1.1911041009463723,5.579706854933297e-06,0.09014172966183136,0,0,0.7122960757890531,7.582794495492653
2007,上海市,0.36513883,0.059619,0.015202,0.026577,0.008909,0.008931,0.061126,0.029547,9670.0,2063.59,12494.01,4.68600836406457,0.773970886848978,126685297.2,-1.01396827119556,430.6,1187.2,1229.7,7778,0,1,0,3.23986794305777,0.687034073913956,9767.75,5259.53,729.7,1719.57,299.66,295.45,417.17,848.61,27.78,1072.38,0,1,0,1.0357985175202156,1.2920382626680456,4.771806649746558e-06,0.09502153431924579,0,0,0.7165472135867161,7.632202463458385
2008,上海市,0.39763687,0.06436,0.016129,0.028793,0.010262,0.009176,0.063692,0.033128,10207.0,2140.64,14069.87,4.7682001644368,0.725450910349563,132790694.8,-0.943794752901057,522.6,1437.7,1544.2,9697,0,1,0,2.71728515287532,0.652669962921494,10207.0,5464.0,714.44,1951.55,340.5,321.47,427.05,788.73,30.0,1138.22,0,1,0,1.0740766502051888,1.3784530224355835,4.574313764093058e-06,0.10218289152636094,0,0,0.933034687251575,7.668860128725309
2009,上海市,0.42163331,0.069346,0.017437,0.031176,0.010273,0.010459,0.064827,0.033779,10367.0,2210.28,15046.45,4.6903559729989,0.688999730833519,149143881.2,-0.991223053942957,531.2,1574.9,1750.6,10814,0,1,0,2.66960201713366,0.628700065559873,10367.0,5305.0,677.68,1937.18,388.52,353.11,483.19,742.79,33.52,1153.38,0,1,0,1.1115626388977076,1.451379376868911,4.608794765542703e-06,0.10466920768686301,0,0,1.0928882868086673,7.700874483319012
