,年份,莫兰指数,p值
0,2000,0.1736,0.003
1,2001,0.1656,0.005
2,2002,0.157,0.006
3,2003,0.1485,0.003
4,2004,0.1444,0.007
5,2005,0.1391,0.007
6,2006,0.1356,0.002
7,2007,0.1461,0.003
8,2008,0.1372,0.004
9,2009,0.1248,0.009
10,2010,0.1251,0.006
11,2011,0.1222,0.01
12,2012,0.1146,0.01
13,2013,0.1144,0.011
14,2014,0.1114,0.006
15,2015,0.125,0.009
16,2016,0.1203,0.007
17,2017,0.135,0.007
18,2018,0.1367,0.006
19,2019,0.1538,0.007
20,2020,0.1541,0.006
21,2021,0.1547,0.004
22,2022,0.1544,0.007
23,2023,0.1564,0.005
24,2024,0.1557,0.002
